threshold,fpr,fnr
0.99761969,0.00578224,0.96449704
0.99761200,0.00579188,0.96449704
0.99760914,0.00580151,0.96449704
0.99760759,0.00581115,0.96449704
0.99760389,0.00582079,0.96449704
0.99759376,0.00583043,0.96449704
0.99759132,0.00584006,0.96449704
0.99759090,0.00584970,0.96449704
0.99758959,0.00585934,0.96449704
0.99758649,0.00586897,0.96449704
0.99758053,0.00587861,0.96449704
0.99757993,0.00588825,0.96449704
0.99757791,0.00589789,0.96449704
0.99757648,0.00590752,0.96449704
0.99757564,0.00590752,0.96153846
0.99757081,0.00591716,0.96153846
0.99756455,0.00592680,0.96153846
0.99755979,0.00593643,0.96153846
0.99755955,0.00594607,0.96153846
0.99755883,0.00595571,0.96153846
0.99755162,0.00596535,0.96153846
0.99754888,0.00597498,0.96153846
0.99754786,0.00598462,0.96153846
0.99754453,0.00599426,0.96153846
0.99754196,0.00600389,0.96153846
0.99753958,0.00601353,0.96153846
0.99753630,0.00602317,0.96153846
0.99753380,0.00603280,0.96153846
0.99753284,0.00604244,0.96153846
0.99753153,0.00605208,0.96153846
0.99752492,0.00606172,0.96153846
0.99752426,0.00607135,0.96153846
0.99752218,0.00608099,0.96153846
0.99751318,0.00609063,0.96153846
0.99751300,0.00610026,0.96153846
0.99751222,0.00610990,0.96153846
0.99751210,0.00611954,0.96153846
0.99751180,0.00612918,0.96153846
0.99751151,0.00613881,0.96153846
0.99750721,0.00614845,0.96153846
0.99750483,0.00615809,0.96153846
0.99750209,0.00616772,0.96153846
0.99749833,0.00617736,0.96153846
0.99749804,0.00618700,0.96153846
0.99749339,0.00619663,0.96153846
0.99748784,0.00620627,0.96153846
0.99748516,0.00621591,0.96153846
0.99748409,0.00622555,0.96153846
0.99748158,0.00623518,0.96153846
0.99748009,0.00624482,0.96153846
0.99747938,0.00625446,0.96153846
0.99747908,0.00626409,0.96153846
0.99747866,0.00627373,0.96153846
0.99747562,0.00628337,0.96153846
0.99747509,0.00629301,0.96153846
0.99747264,0.00630264,0.96153846
0.99746943,0.00631228,0.96153846
0.99746823,0.00632192,0.96153846
0.99746650,0.00633155,0.96153846
0.99746299,0.00634119,0.96153846
